-0.512369-0.120384i	0.479000-0.264435i	-0.459821+1.517112i
0.355022+0.388553i	0.013563+0.546976i	-0.051702+1.584421i
-0.073780-0.521124i	-0.491518-0.240369i	0.359936+1.543862i
0.220317+0.957981i	-0.554226+1.082271i	0.889218-1.436694i
0.668703-0.720489i	0.142936-1.207496i	-1.637677+0.415707i
-0.971725-0.148382i	0.286225+1.181758i	1.466789+0.838647i
0.423207+0.887222i	-0.679601-1.008276i	-0.472486-1.622207i
0.496176-0.848573i	0.988013+0.708737i	-0.787057+1.495105i
-0.980750+0.066304i	-1.172902-0.320591i	1.604769-0.528693i
0.605875+0.774069i	1.211153-0.107636i	-1.521607-0.734513i
0.299941-0.936111i	-1.097985+0.522405i	0.584258+1.585384i
-0.793223-1.050137i	0.216903+0.866200i	1.090035+1.860636i
-0.493786+1.219904i	-0.657894-0.603759i	-0.069650+2.155294i
1.300346-0.202714i	0.881596+0.141908i	-1.207892+1.786376i
-0.841679-1.011715i	-0.814124+0.366812i	-1.974246+0.867466i
-0.435934+1.241754i	0.477764-0.754381i	-2.132765-0.318521i
1.289387-0.263576i	0.016393+0.892793i	-1.634646-1.406442i
-0.888277-0.971059i	-0.505135-0.736334i	-0.633248-2.061344i
-0.377120+1.260862i	0.827041+0.336678i	0.563115-2.081597i
-0.127505+1.243066i	0.993835+0.731237i	0.897821+0.071736i
0.495046-1.147344i	-0.870419+0.874520i	0.343086-0.832778i
-0.816855+0.945631i	-0.735900-0.990387i	-0.687806-0.581507i
1.063202-0.656560i	1.088492-0.581034i	-0.764115+0.476819i
-1.211330+0.306836i	0.413342+1.162568i	0.220066+0.873384i
1.247556+0.071234i	-1.210979+0.236525i	0.898825+0.057808i
-1.168531-0.442723i	-0.054487-1.232658i	0.330134-0.837997i
0.981558+0.773313i	1.227126+0.128754i	-0.696739-0.570774i
0.501401+0.385219i	-0.165914-0.976010i	-0.726226-0.380612i
0.562813+0.288163i	0.574571-0.806220i	0.118216-0.811354i
0.605655+0.181600i	0.976719-0.161687i	0.804639-0.157562i
0.628513+0.069044i	0.803725+0.578055i	0.415504+0.706842i
0.630634-0.045789i	0.157457+0.977410i	-0.529033+0.626413i
0.611947-0.159112i	-0.581529+0.801215i	-0.766414-0.291340i
0.573069-0.267184i	-0.978082+0.153225i	0.020668-0.819660i
0.515283-0.366441i	-0.798690-0.584993i	0.780123-0.252343i
-0.071017+0.425551i	-0.493365-0.908772i	1.002766-0.844844i
0.277193+0.330607i	-0.116695-1.027452i	0.959268-0.893927i
0.431415+0.004294i	0.276996-0.996267i	0.913370-0.940774i
0.283718-0.325025i	0.630284-0.819767i	0.865187-0.985268i
